id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,4.8,Grounded with 1 citations,4.7,Detailed answer,5.0,Retrieved 1/1,5.0,Coverage: 100% of expected content,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,4.8,Grounded with 1 citations,4.7,Detailed answer,5.0,Retrieved 1/1,5.0,Coverage: 100% of expected content,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",4.8,Grounded with 1 citations,4.5,Adequate answer,5.0,Retrieved 1/1,5.0,Coverage: 100% of expected content,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4.8,Grounded with 1 citations,4.7,Detailed answer,5.0,Retrieved 1/1,4.69,Coverage: 90% of expected content,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,4.8,Grounded with 1 citations,4.7,Detailed answer,5.0,Retrieved 1/1,5.0,Coverage: 100% of expected content,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,Gracefully abstain (grounded),3.5,Honest abstain,5.0,Retrieved 1/1,3.5,Abstain (partial credit),baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4.8,Grounded with 1 citations,4.7,Detailed answer,5.0,Retrieved 1/1,5.0,Coverage: 100% of expected content,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",4.8,Grounded with 1 citations,4.5,Adequate answer,5.0,Retrieved 1/1,4.76,Coverage: 92% of expected content,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để thực hiện hành động yêu cầu. Cách xử lý là kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, bao gồm việc tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,Gracefully abstain (grounded),3.5,Honest abstain,4.0,No expected sources (out of scope),3.5,Abstain (partial credit),baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",4,Gracefully abstain (grounded),3.5,Honest abstain,5.0,Retrieved 1/1,3.5,Abstain (partial credit),baseline_dense
